                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6192,                 1.7549,                 1.3299,                0.66736,                0.55767,                0.59892,                0.30383,                 1.5668,                 1.4552,                  1.381,             0.00066512,             0.00066512,             0.00066512
                      2,                 1.5542,                 1.2507,                 1.3253,                0.78294,                0.59265,                 0.6586,                0.32566,                 1.6063,                 1.1386,                 1.4164,              0.0012659,              0.0012659,              0.0012659
                      3,                 1.5371,                  1.157,                 1.3165,                0.80543,                0.58264,                0.66598,                  0.344,                 1.5775,                  1.183,                 1.4201,              0.0018006,              0.0018006,              0.0018006
                      4,                 1.4825,                 1.0555,                 1.3005,                0.82163,                0.59212,                0.69242,                0.37577,                 1.5191,                0.96239,                 1.3778,               0.001703,               0.001703,               0.001703
                      5,                 1.4422,                0.99968,                 1.2736,                0.82968,                0.67497,                0.75423,                0.41433,                 1.4035,                0.96163,                 1.2776,               0.001604,               0.001604,               0.001604
                      6,                 1.3771,                0.94625,                 1.2393,                0.84139,                0.68114,                0.76616,                0.44549,                 1.3374,                0.79446,                 1.2615,               0.001505,               0.001505,               0.001505
                      7,                 1.3535,                 0.9004,                 1.2228,                0.89356,                0.64942,                 0.7607,                0.44324,                 1.3436,                0.77947,                   1.25,               0.001406,               0.001406,               0.001406
                      8,                  1.303,                0.86224,                 1.1958,                0.88593,                0.67362,                0.78102,                0.47587,                 1.2597,                0.73191,                    1.2,               0.001307,               0.001307,               0.001307
                      9,                 1.2801,                0.82533,                 1.1886,                0.86129,                0.70284,                0.79489,                0.49874,                 1.1913,                0.68636,                 1.1708,               0.001208,               0.001208,               0.001208
                     10,                 1.2383,                0.78713,                 1.1674,                0.87651,                0.71703,                0.80626,                0.49214,                 1.2145,                 0.6498,                 1.1797,               0.001109,               0.001109,               0.001109
                     11,                  1.169,                0.67782,                 1.1502,                 0.8833,                0.69501,                0.79996,                 0.5085,                 1.1408,                0.65404,                 1.1342,                0.00101,                0.00101,                0.00101
                     12,                 1.1255,                0.64803,                 1.1299,                0.89257,                0.71619,                0.80689,                0.51408,                 1.1264,                0.62823,                 1.1402,               0.000911,               0.000911,               0.000911
                     13,                 1.0851,                0.61114,                    1.1,                0.90408,                0.71369,                 0.8197,                0.52697,                 1.1027,                0.59733,                 1.1153,               0.000812,               0.000812,               0.000812
                     14,                 1.0491,                0.58469,                 1.0811,                 0.9203,                0.70618,                0.81992,                0.53588,                 1.0741,                0.57771,                 1.1003,               0.000713,               0.000713,               0.000713
                     15,                   1.02,                0.55735,                 1.0637,                0.89708,                0.72028,                0.80767,                 0.5301,                 1.0834,                0.56813,                 1.1041,               0.000614,               0.000614,               0.000614
                     16,                0.97694,                0.53449,                 1.0459,                0.89605,                0.74832,                0.83382,                0.55009,                 1.0481,                0.53352,                 1.0886,               0.000515,               0.000515,               0.000515
                     17,                0.94139,                0.51153,                 1.0279,                0.91774,                0.73289,                0.84101,                0.56849,                 1.0047,                0.50741,                 1.0651,               0.000416,               0.000416,               0.000416
                     18,                0.91167,                0.49211,                 1.0091,                0.92219,                0.75189,                  0.847,                 0.5667,                  1.006,                0.49454,                 1.0712,               0.000317,               0.000317,               0.000317
                     19,                0.88982,                 0.4744,                0.99755,                0.92972,                0.75083,                 0.8518,                0.57824,                0.96591,                0.47987,                 1.0517,               0.000218,               0.000218,               0.000218
                     20,                0.85474,                0.45937,                0.98436,                0.93288,                0.75414,                0.85447,                0.58406,                0.94938,                0.47183,                 1.0401,               0.000119,               0.000119,               0.000119
